Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"64,7"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"65,6"
dolnośląskie,Wałbrzych,P1,"16,329511","50,773219",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-02 06:00:00,2018-07-03 06:00:00,"Wałbrzych, ul. Strzegomska 20",D_02_000354_001,Dzień 16h,"65,9"
dolnośląskie,Wałbrzych,P1,"16,329511","50,773219",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-02 06:00:00,2018-07-03 06:00:00,"Wałbrzych, ul. Strzegomska 20",D_02_000354_001,Noc 8h,"60,3"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"67,8"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"68,1"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"68,3"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"69,2"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"69,4"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"69,7"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"69,8"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,70
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"70,2"
dolnośląskie,Wrocław,P1 - Grunwaldzka,"17,068417","51,113667",Pomiar w trybie art.175 ust.2 Poś (pomiary ciągłe),2018-01-01 00:00:00,2018-12-31 23:59:00,pl. Grunwaldzki 51,D_02_000357_001,Dzień 12h,"70,3"
