Województwo,Miejscowość,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
kujawsko-pomorskie,,D_04_000253_003,"P34, Warlubie","18,629","53,613528",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 18:00:00,2022-09-15 18:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,"57,7"
kujawsko-pomorskie,,D_04_000253_004,"P35, Płochcinek 5","18,626056","53,610361",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 18:00:00,2022-09-15 18:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"61,4"
kujawsko-pomorskie,,D_04_000253_004,"P35, Płochcinek 5","18,626056","53,610361",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 18:00:00,2022-09-15 18:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,59
kujawsko-pomorskie,,D_04_000253_005,"P36, Warlubie","18,62825","53,608833",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 17:00:00,2022-09-15 17:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"61,7"
kujawsko-pomorskie,,D_04_000253_005,"P36, Warlubie","18,62825","53,608833",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 17:00:00,2022-09-15 17:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,"57,4"
kujawsko-pomorskie,,D_04_000253_006,"P37, Warlubie, ul. Wybudowanie za Torami 6","18,626528","53,605972",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 17:00:00,2022-09-15 17:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"60,4"
kujawsko-pomorskie,,D_04_000253_006,"P37, Warlubie, ul. Wybudowanie za Torami 6","18,626528","53,605972",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 17:00:00,2022-09-15 17:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,"54,9"
kujawsko-pomorskie,,D_04_000253_007,"P31, Gajewo Zabudowania","18,633628","53,657528",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"62,6"
kujawsko-pomorskie,,D_04_000253_007,"P31, Gajewo Zabudowania","18,633628","53,657528",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,"57,4"
kujawsko-pomorskie,,D_04_000255_001,"P40, Sztywnag, ul. Słonecznikowa","18,689222","53,4115",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-09 18:30:00,2022-11-10 18:30:00,"A1, Węzeł Grudziądz - Węzeł Lisewo",Dzień 16h,"53,5"
kujawsko-pomorskie,,D_04_000255_001,"P40, Sztywnag, ul. Słonecznikowa","18,689222","53,4115",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-09 18:30:00,2022-11-10 18:30:00,"A1, Węzeł Grudziądz - Węzeł Lisewo",Noc 8h,"48,7"
kujawsko-pomorskie,,D_04_000255_002,"P41, Sztywang 5A","18,686306","53,404611",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-08 18:00:00,2022-11-09 18:00:00,"A1, Węzeł Grudziądz - Węzeł Lisewo",Dzień 16h,55
kujawsko-pomorskie,,D_04_000255_002,"P41, Sztywang 5A","18,686306","53,404611",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-08 18:00:00,2022-11-09 18:00:00,"A1, Węzeł Grudziądz - Węzeł Lisewo",Noc 8h,"51,9"
kujawsko-pomorskie,,D_04_000255_003,"P42, Ruda 21A","18,686972","53,398111",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-08 12:00:00,2022-11-09 12:00:00,"A1, Węzeł Grudziądz - Węzeł Lisewo",Dzień 16h,"57,4"
